"ID","Species_Name","Genus","Species","Family","Native/Exotic","Grass/Forb/Shrub","Annual/Perennial","Monocot/Dicot","Id_notes"
343,"Vulpia octoflora","Vulpia","octoflora","Poaceae","Native","Grass","Annual","monocot",
344,"unk #4 fleshy",,,,,,,,
345,"unk bulb",,,,,,,,
346,"unk gall plant",,,,,,,,
347,"unk lilly",,,,,,,,
348,"unk pink tip #3",,,,,,,,
349,"unk silene gallica",,,,,,,,
350,"unk white",,,,,,,,
351,"unk whorled subwhorled",,,,,,,,
352,"Elymus glaucus","Elymus","glaucus","Poaceae","Native","Grass","Perennial","monocot",
353,"Eriogonum sp.","Eriogonum","sp.","Polygonaceae","Native","Forb","Perennial","dicot",
354,"Minuartia sp.","Minuartia","sp.","Caryophyllaceae","Native","Forb","Annual","dicot",
355,"Quercus lobata","Quercus","lobata","Fagaceae","Native","Shrub","Perennial","dicot",
356,"Salvia columbariae","Salvia","columbariae","Lamiaceae","Native","Shrub","Perennial","dicot",
357,"Stephanomeria sp.","Stephanomeria","sp.","Asteraceae","Native","Forb","Annual","dicot",
