Species_Name,HeightS,SLAS,LWCS,CNS,PerNS,HeightNS,SLANS,LWCNS,CNNS,PerNNS,Genus,Species,Family,Native.Exotic,Grass.Forb.Shrub,Annual.Perennial,Monocot.Dicot
Melilotus indica,24.5,238.603156,0.783718872,11.0156658,3.83,74.6,169.4813278,0.776043119,13.54304636,3.02,Melilotus,indica,Fabaceae,Exotic,Forb,Annual,dicot
Micropus californicus,13.7,282.1794872,0.751592357,15.14963504,2.74,18.9,413.47896,0.77377892,16.66135458,2.51,Micropus,californicus,Asteraceae,Native,Forb,Annual,dicot
Microseris douglasii,6,278.2352941,0.834951456,16.68292683,2.46,8.55,663.7060703,0.846868885,19.28823529,1.7,Microseris,douglasii,Asteraceae,Native,Forb,Annual,dicot
Mimulus androsaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimulus,androsaceus,Scrophulariaceae,Native,Forb,Annual,dicot
Mimulus douglasii,1.15,207.4634146,0.817777778,26.64238411,1.51,NA,NA,NA,NA,NA,Mimulus,douglasii,Scrophulariaceae,Native,Forb,Annual,dicot
Mimulus guttatus,9.6,296.05045,0.894300684,10.97375328,3.81,13.6,572.6415094,0.898076923,12.66885246,3.05,Mimulus,guttatus,Scrophulariaceae,Native,Forb,Annual,dicot
Minuartia californica,3.6,297.5,0.636363636,19.95566502,2.03,NA,NA,NA,NA,NA,Minuartia,californica,Caryophyllaceae,Native,Forb,Annual,dicot
Minuartia douglasii,11.3,125.07616,0.812107789,30.5620438,1.37,NA,NA,NA,NA,NA,Minuartia,douglasii,Caryophyllaceae,Native,Forb,Annual,dicot
Nassella pulchra,46,78.41214535,0.516660652,37.1559633,1.09,50,157.5975474,0.645454545,41.51546392,0.97,Nassella,pulchra,Poaceae,Native,Grass,Perennial,monocot
Navarretia jepsonii,9.1,185.9598854,0.814460393,32.83064516,1.24,NA,NA,NA,NA,NA,Navarretia,jepsonii,Polemoniaceae,Native,Forb,Annual,dicot
Navarretia pubescens,11.3,170.5555556,0.803174603,26.94968553,1.59,NA,232.1025641,0.751592357,33.9765625,1.28,Navarretia,pubescens,Polemoniaceae,Native,Forb,Annual,dicot
Navarretia tagetina,NA,NA,NA,NA,NA,10.55,175.5284553,0.725446429,31.69117647,1.36,Navarretia,tagetina,Polemoniaceae,Native,Forb,Annual,dicot
Navarretia viscidula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Navarretia,viscidula,Polemoniaceae,Native,Forb,Annual,dicot
Nemophila heterophylla,NA,NA,NA,NA,NA,31.1,414.8351648,0.846736842,14.78490566,2.65,Nemophila,heterophylla,Hydrophyllaceae,Native,Forb,Annual,dicot
Nemophila menziesii,16.6,346.7253521,0.87466902,27.73228346,1.27,10.5,258,0.834983498,22.70414201,1.69,Nemophila,menziesii,Hydrophyllaceae,Native,Forb,Annual,dicot
Pectocarya pusilla,NA,NA,NA,NA,NA,12.25,280.8888889,0.760638298,39.29166667,0.96,Pectocarya,pusilla,Boraginaceae,Native,Forb,Annual,dicot
Perideridia kelloggii,76.7,163.1340631,0.781343971,16.53386454,2.51,112.8,132.4914994,0.827367891,14.39249147,2.93,Perideridia,kelloggii,Apiaceae,Native,Forb,Perennial,dicot
Petrorhagia prolifera,21.6,165.5727554,0.726734349,34.47058824,1.19,57.9,123.3902439,0.734455959,57.35064935,0.77,Petrorhagia,prolifera,Caryophyllaceae,Exotic,Forb,Annual,dicot
Phacelia imbricata,NA,NA,NA,NA,NA,41.9,114.298084,0.69473033,23.8961039,1.54,Phacelia,imbricata,Hydrophyllaceae,Native,Forb,Perennial,dicot
Phalaris paradoxa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phalaris,paradoxa,Poaceae,Exotic,Grass,Annual,monocot
Phlox gracilis,6.2,204.2011834,0.877180233,11.79858657,2.83,8.3,235.6177156,0.83998508,19.45273632,2.01,Phlox,gracilis,Polemoniaceae,Native,Forb,Annual,dicot
Plagiobothrys nothofulvus,20.1,312.8343949,0.857897119,20.48167539,1.91,24.6,377.2642968,0.837150768,19.86528497,1.93,Plagiobothrys,nothofulvus,Boraginaceae,Native,Forb,Annual,dicot
Plantago erecta,8.04,148.0500894,0.772115777,28.86577181,1.49,6.6,137.1568627,0.734375,35.19354839,1.24,Plantago,erecta,Plantaginaceae,Native,Forb,Annual,dicot
Plectritis ciliosa,9.9,349.7282609,0.866521581,20.42105263,2.09,18.1,347.7777778,0.842302879,20.98591549,2.13,Plectritis,ciliosa,Valerianaceae,Native,Forb,Annual,dicot
Poa annua,NA,NA,NA,NA,NA,10.55,374.6621622,0.720754717,12.7202381,3.36,Poa,annua,Poaceae,Exotic,Grass,Annual,monocot
Poa bulbosa,NA,NA,NA,NA,NA,40,228.4180791,0.688380282,33.504,1.25,Poa,bulbosa,Poaceae,Exotic,Grass,Annual,monocot
Poa secunda,36.3,173.0928807,0.658399098,29.00719424,1.39,56.1,360.6956522,0.684931507,41.45098039,1.02,Poa,secunda,Poaceae,Native,Grass,Perennial,monocot
Polypogon monspeliensis,27.8,163.781362,0.665668065,53.70689655,0.58,12.05,220.944206,0.662073967,48.34722222,0.72,Polypogon,monspeliensis,Poaceae,Native,Grass,Annual,monocot
Quercus douglasii,NA,NA,NA,NA,NA,792.5,88.68044515,0.537345369,22.07655502,2.09,Quercus,douglasii,Fagaceae,Native,Tree,Perennial,dicot
Quercus durata,158,45.83602324,0.380585824,37.752,1.25,NA,NA,NA,NA,NA,Quercus,durata,Fagaceae,Native,Shrub,Perennial,dicot
Quercus lobata,NA,NA,NA,NA,NA,NA,116.7882964,0.556305554,22.72248804,2.09,Quercus,lobata,Fagaceae,Native,Shrub,Perennial,dicot
Ranunculus californicus,21.6,182.128236,0.816818307,13.2866242,3.14,23.6,153.1371409,0.814291578,18.06637168,2.26,Ranunculus,californicus,Ranunculaceae,Native,Forb,Perennial,dicot
Ranunculus occidentalis,30.6,118.3664947,0.776318681,22.81382979,1.88,48.1,246.4041426,0.851640106,18.10599078,2.17,Ranunculus,occidentalis,Ranunculaceae,Native,Forb,Perennial,dicot
Rigiopappus leptocladus,16.3,136.2566845,0.720895522,30.67407407,1.35,6.4,201.4018692,0.759550562,20.29591837,1.96,Rigiopappus,leptocladus,Asteraceae,Native,Forb,Annual,dicot
Rumex crispus,NA,NA,NA,NA,NA,113.8,222.1840874,0.85272155,15.78059072,2.37,Rumex,crispus,Polygonaceae,Exotic,Forb,Annual,dicot
Sagina apetala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sagina,apetala,Caryophyllaceae,Native,Forb,Annual,dicot
Salvia columbariae,NA,NA,NA,NA,NA,14.4,123.7583001,0.835470973,23.84615385,1.82,Salvia,columbariae,Lamiaceae,Native,Shrub,Perennial,dicot
Sanicula bipinnata,NA,NA,NA,NA,NA,35.8,198.7762973,0.816944801,17.3487395,2.38,Sanicula,bipinnata,Apiaceae,Native,Forb,Perennial,dicot
Sanicula bipinnatifida,11,169.6224589,0.799161824,15.55769231,2.6,11.9,144.7086303,0.828139614,17.14107884,2.41,Sanicula,bipinnatifida,Apiaceae,Native,Forb,Perennial,dicot
Sanicula crassicaulis,15.35,217.8162942,0.833220836,20.46560847,1.89,68.3,294.9257806,0.866524459,19.09,2,Sanicula,crassicaulis,Apiaceae,Native,Forb,Perennial,dicot
Senecio eurycephalus,38.95,93.93038,0.741324764,28.11320755,1.59,NA,NA,NA,NA,NA,Senecio,eurycephalus,Asteraceae,Native,Forb,Perennial,dicot
Senecio vulgaris,31.2,184.7390841,0.854486285,17.43555556,2.25,21.15,164.2224409,0.861618088,24.00641026,1.56,Senecio,vulgaris,Asteraceae,Exotic,Forb,Annual,dicot
Sidalcea diploscypha,7.7,193.9476314,0.841476553,13.78350515,2.91,29.9,215.7332351,0.83323092,16.52674897,2.43,Sidalcea,diploscypha,Malvaceae,Native,Forb,Annual,dicot
Silene gallica,25.7,193.7367625,0.854501431,13.96078431,2.55,42.7,234.4262295,0.871788884,23.24840764,1.57,Silene,gallica,Caryophyllaceae,Exotic,Forb,Annual,dicot
Sisymbrium officinale,NA,NA,NA,NA,NA,48.8,401.5016502,0.86074301,9.832402235,3.58,Sisymbrium,officinale,Brassicaceae,Exotic,Forb,Annual,dicot
Sisyrinchium bellum,34.9,153.7578169,0.764430159,19.03317536,2.11,32.8,206.2942192,0.799982742,24.84337349,1.66,Sisyrinchium,bellum,Iridaceae,Native,Forb,Perennial,monocot
Stellaria media,NA,NA,NA,NA,NA,30,512.3865878,0.894308943,12.26732673,3.03,Stellaria,media,Caryophyllaceae,Exotic,Forb,Annual,dicot
Stellaria nitens,NA,NA,NA,NA,NA,39.8,796.9354839,0.928817451,20.49714286,1.75,Stellaria,nitens,Caryophyllaceae,Native,Forb,Annual,dicot
Streptanthus breweri,17.5,163.5646817,0.855326481,13.32508834,2.83,NA,NA,NA,NA,NA,Streptanthus,breweri,Brassicaceae,Native,Forb,Annual,dicot
Taeniatherum caput-medusae,44.8,227.8054299,0.627004219,89.675,0.4,41.2,206.031746,0.597014925,71.12280702,0.57,Taeniatherum,caput-medusae,Poaceae,Exotic,Grass,Annual,monocot
Thermopsis macrophylla,50.1,169.4629278,0.764916201,11.42469136,4.05,NA,NA,NA,NA,NA,Thermopsis,macrophylla,Fabaceae,Native,Forb,Perennial,dicot
Thysanocarpus curvipes,NA,NA,NA,NA,NA,36.6,214.8205128,0.798657718,16.00406504,2.46,Thysanocarpus,curvipes,Brassicaceae,Native,Forb,Annual,dicot
Torilis arvensis,16.3,337.3627617,0.790838068,18.15816327,1.96,29.8,381.9946572,0.758338713,15.23828125,2.56,Torilis,arvensis,Apiaceae,Exotic,Forb,Annual,dicot
Torilis nodosa,NA,NA,NA,NA,NA,12.4,296.1470138,0.826670914,15.14056225,2.49,Torilis,nodosa,Apiaceae,Exotic,Forb,Annual,dicot
Trifolium albopurpureum,10.9,250.13449,0.793641941,11.4386921,3.67,12.55,192.31508,0.689861871,12.53448276,3.48,Trifolium,albopurpureum,Fabaceae,Native,Forb,Annual,dicot
Trifolium bifidum,21.7,313.5195531,0.788915094,11.19121447,3.87,18.55,316.86212,0.7675103,10,4.44,Trifolium,bifidum,Fabaceae,Native,Forb,Annual,dicot
Trifolium ciliolatum,NA,NA,NA,NA,NA,9.3,291.4872364,0.763950747,9.788372093,4.3,Trifolium,ciliolatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium depauperatum,NA,NA,NA,NA,NA,13.3,299.3856655,0.75785124,11.34357542,3.58,Trifolium,depauperatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium dubium,13.9,358.8687783,0.761081081,20.73557692,2.08,8.4,311.3888889,0.64902507,15.86785714,2.8,Trifolium,dubium,Fabaceae,Exotic,Forb,Annual,dicot
Trifolium fucatum,24.9,179.9469453,0.842798292,9.368421053,4.37,24.5,336.9976359,0.88923802,8.801864802,4.29,Trifolium,fucatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium gracilentum,NA,NA,NA,NA,NA,8.3,242,0.75,11.06701031,3.88,Trifolium,gracilentum,Fabaceae,Native,Forb,Annual,dicot
Trifolium hirtum,14.63,191.8261688,0.744447117,12.52852853,3.33,7.6,269.1407223,0.796914517,13.040625,3.2,Trifolium,hirtum,Fabaceae,Exotic,Forb,Annual,dicot
Trifolium microcephalum,12.2,271.1019284,0.728902166,22.09375,1.92,9.65,353.95701,0.748066748,11.13368984,3.74,Trifolium,microcephalum,Fabaceae,Native,Forb,Annual,dicot
Trifolium microdon,12.4,310.125523,0.763600396,NA,NA,23.4,321.5875,0.793495096,NA,NA,Trifolium,microdon,Fabaceae,Native,Forb,Annual,dicot
Trifolium obtusiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trifolium,obtusiflorum,Fabaceae,Native,Forb,Annual,dicot
Trifolium variegatum,17.7,271.4588235,0.795180723,11.8739255,3.49,16.9,555.3888889,0.891761876,12.16081871,3.42,Trifolium,variegatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium willdenovii,22.4,176.6455696,0.71902786,11.85617597,5.91,26.9,266.885333,0.753750288,9.435079727,4.39,Trifolium,willdenovii,Fabaceae,Native,Forb,Annual,dicot
Triphysaria eriantha,7.68,199.9698795,0.766853933,19.71505376,1.86,10.6,186.25,0.7344754,13.29924242,2.64,Triphysaria,eriantha,Scrophulariaceae,Native,Forb,Annual,dicot
Triphysaria versicolor,16.4,300.0410959,0.813680449,18.08681672,3.11,NA,NA,NA,NA,NA,Triphysaria,versicolor ssp. faucibarbata,Scrophulariaceae,Native,Forb,Annual,dicot
Triteleia laxa,15.2,161.2901,0.8179703,33.24603175,1.26,32,126.0258492,0.786103532,39.14141414,0.99,Triteleia,laxa,Liliaceae,Native,Forb,Perennial,monocot
Uropappus lindleyi,28.4,330.0497512,0.863141171,21.59685864,1.91,18.15,279.6995708,0.848537378,27.87234043,1.41,Uropappus,lindleyi,Asteraceae,Native,Forb,Annual,dicot
Velezia rigida,NA,NA,NA,NA,NA,19.8,166.9323671,0.522491349,33.54621849,1.19,Velezia,rigida,Caryophyllaceae,Exotic,Forb,Annual,dicot
Vicia villosa,23.6,177.5662651,0.704626335,12.66467066,3.34,51,340.3370787,0.836846929,10.72040302,3.97,Vicia,villosa,Fabaceae,Exotic,Forb,Annual,dicot
Viola douglasii,9.91,121.2848297,0.814057913,12.13450292,3.42,12.5,141.3078587,0.827272727,16.33,2.55,Viola,douglasii,Violaceae,Native,Forb,Perennial,dicot
Vulpia microstachys,21.75,181.3432836,0.624299065,33.52212389,1.13,18.55,209.1666667,0.61849711,27.83802817,1.42,Vulpia,microstachys,Poaceae,Native,Grass,Annual,monocot
Vulpia myuros,25.9,104.3926789,0.656571429,33.78991597,1.19,33.4,211.9047619,0.685286104,102.7948718,0.39,Vulpia,myuros,Poaceae,Exotic,Grass,Annual,monocot
Vulpia octoflora,NA,NA,NA,NA,NA,5.3,386.2393162,0.851051603,NA,NA,Vulpia,octoflora,Poaceae,Native,Grass,Annual,monocot
Wyethia glabra,NA,NA,NA,NA,NA,35.94,130.2712742,0.78847619,18.4,2.28,Wyethia,glabra,Asteraceae,Native,Forb,Perennial,dicot
Zigadenus fremontii,29.6,155.1146894,0.827093046,NA,NA,28.2,131.5183572,0.856168981,20.62564103,1.95,Zigadenus,fremontii,Liliaceae,Native,Forb,Perennial,monocot
Adenostoma fasciculatum,187,37.4742268,0.442528736,35.97142857,1.4,225,33.12169312,0.477900552,39.5984252,1.27,Adenostoma,fasciculatum,Rosaceae,Native,Shrub,Perennial,dicot
Antirrhinum vexillo-calyculatum,60.7,171.7438174,0.848379963,24.69444444,1.8,29.3,181.4043584,0.818581155,22.08457711,2.01,Antirrhinum,vexillo-calyculatum,Plantaginaceae,Native,Forb,Annual,dicot
Apocynum cannabinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apocynum,cannabinum,Apocynaceae,Native,Forb,Perennial,dicot
Asclepias eriocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asclepias,eriocarpa,Apocynaceae,Native,Forb,Perennial,dicot
Bromus japonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bromus,japonicus,Poaceae,Exotic,Grass,Annual,monocot
Cerastium vulgare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerastium,vulgare,Caryophyllaceae,Exotic,Forb,Perennial,dicot
Eriodictyon californicum,100,40.50174039,0.546961538,50.13978495,0.93,109,54.22968624,0.640621612,27.92073171,1.64,Eriodictyon,californicum,Hydrophyllaceae,Native,Shrub,Perennial,dicot
Gnaphalium californicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gnaphalium,californicum,Asteraceae,Native,Forb,Perennial,dicot
Juncus bufonius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Juncus,bufonius,Juncaceae,Native,Grass,Annual,monocot
Nemophila pedunculata,5.928571429,251.6633663,0.877930868,13.72636816,2.01,6.4,267.2098765,0.870192308,15.83064516,2.48,Nemophila,pedunculata,Boraginaceae,Native,Forb,Annual,dicot
Pinus sabiniana,1365,37.2543098,0.50516812,42.69230769,1.17,1180,30.18244694,0.525195335,28.04878049,1.23,Pinus,sabiniana,Pinaceae,Native,Tree,Perennial,gymnosperm
Scutellaria siphocampyloides,20.4,220.1470588,0.789473684,31.12676056,1.42,NA,NA,NA,NA,NA,Scutellaria,siphocampyloides,Lamiaceae,Native,Forb,Perennial,dicot
Tragopogon dubius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tragopogon,dubius,Asteraceae,Exotic,Forb,Annual,dicot
Trichostema laxum,14.5,98.68128,0.6227701,NA,NA,NA,NA,NA,NA,NA,Trichostema,laxum,Lamiaceae,Native,Forb,Annual,dicot
Triteleia hyacinthina,NA,NA,NA,NA,NA,42.9,115.9393261,0.865569112,33.34513274,1.13,Triteleia,hyacinthina,Liliaceae,Native,Forb,Perennial,monocot
Vulpia bromoides,16.9,164.152381,0.67870257,51.1375,0.8,19.6,188.5652174,0.671428571,31.90322581,1.24,Vulpia,bromoides,Poaceae,Exotic,Grass,Annual,monocot
