Site,Spp,1,2,3,4,5
12,Hesperolinon sp.,0.2,0.1,0.1,,0.3
12,Holocarpha virgata,7,4.5,4.3,15,10
12,Hypochaeris glabra,,,,,
12,Lasthenia californica,15,11,25,3,1.5
12,Linanthus bicolor,,,,,
12,Lomatium marginatum,,0.5,0.2,,
12,Lotus humistratus,,0.1,,,
12,Lotus wrangelianus,0.1,0.1,2,0.3,
12,Micropus californicus,7,9,15,2.5,7
12,Microseris douglasii,0.4,2,2,0.4,0.3
12,Mimulus douglasii,,,0.1,,0.1
12,Minuartia californica,,,7,,
12,Navarretia pubescens,,,,4.5,
12,Navarretia jepsonii,10,8,13,,0.2
12,Pectocarya pusilla,,,,,
12,Phlox gracilis,,,,,
12,Plantago erecta,0.6,,0.6,3.2,5
12,Plectritis ciliosa,0.1,,,,
12,Poa secunda,,,,,
12,Ranunculus occidentalis,,,,,
12,Rigiopappus leptocladus,,,,,
12,Sidalcea diploscypha,,,,,
12,Stellaria nitens,,,,,
12,Taeniatherum caput-medusae,,,,22,
12,Trifolium gracilentum,,,,,
12,Triphysaria eriantha,,,1,10.5,
12,Vulpia microstachys,6,2,1.7,4,4
12,Vulpia myuros,,,,,
12,unk silene gallica,,,,,
12,Bare,4,4.5,5,7,10
12,Rock,,,0.4,1,8
NOTES:,,,,,,
13,Agoseris heterophylla,,0.2,,,0.1
13,Ancistrocarphus filagineus,2.5,0.6,0.1,0.5,2.5
13,Athysanus pusillus,,0.2,0.1,0.2,0.2
13,Bromus hordeaceus,,,,,
13,Bromus madritensis,,,,,
13,Calycadenia pauciflora,1,,,,
13,Camissonia graciliflora,,,,,1.5
13,Chorizanthe polygonoides,,,,,
13,Clarkia gracilis,,0.2,8,1,4
13,Clarkia purpurea,,,,,
13,Collinsia sparsiflora,,,0.5,1,3
13,crassula?,,,,,
13,Cuscuta californica,,0.1,,,
13,Dichelostemma capitatum,0.2,0.5,0.3,,0.1
13,Epilobium brachycarpum,,,,,
13,Eremocarpus setigerus,0.1,0.3,0.2,0.2,0.2
13,Filago californica,,,,,
13,Hemizonia congesta,3.5,2,7.5,4,2.5
13,Hesperolinon sp.,,0.5,0.1,,
13,Hordeum brachyantherum,,,,,5
13,Lagophylla minor,4,25,22,0.4,3
13,Lasthenia californica,0.2,0.5,,1,2.5
13,Lessingia ramulosa,1.2,1.2,4.5,,0.3
13,Linanthus bicolor,,,,0.4,0.3
13,Linanthus latisectus,,0.1,0.2,,0.3
13,Lolium multiflorum,,,,,
13,Lotus humistratus,,2,2,4.5,1
13,Lotus wrangelianus,1,,,,
13,Melica imperfecta,,,,,
13,Microseris douglasii,1,1.3,1,1.5,1.5
13,Minuartia californica,,0.2,,3.5,
13,Plantago erecta,2.5,1,,0.6,4
13,Poa secunda,,,,2.5,3
13,Quercus durata,,,,,
13,Rigiopappus leptocladus,,,,,
13,Sidalcea diploscypha,,1,1,,0.8
13,Stellaria nitens,,,,,
13,Trifolium albopurpureum,2,,0.2,0.3,0.2
13,Viola douglasii,,3.2,3,16,7
13,Vulpia microstachys,,,,,
13,Unknown seedling,,,,,
13,Bare,15,20,7,12,8
13,Rock,,,3,,
NOTES:,,,,,,
14,Achyrachaena mollis,2.5,6,1,,
14,Agoseris heterophylla,,,0.5,,
14,Allium fimbriatum,,,,,
14,Ancistrocarphus filagineus,,10,0.1,0.4,
14,Athysanus pusillus,0.1,0.2,,,
14,Brodeia elegans,,,,,
14,Bromus hordeaceus,35,0.1,0.5,,
14,Bromus madritensis,,,,,
14,Calochortus superbus,,,,,
14,Calycadenia ,,,,,
14,Camissonia graciliflora,,,,,
14,Castilleja rubicundula,,,,,0.3
14,Centaurium trichanthum,,,,,
14,Chlorogalum pomeridianum,,,,,
14,Clarkia gracilis,,2.5,0.2,0.1,4.5
14,Clarkia purpurea,,,,,
14,Claytonia exigua,,,,,
14,Collinsia sparsiflora,0.1,2.5,17,,
14,Cuscuta californica,,,,0.1,
14,Dichelostemma capitatum,1.2,0.1,0.2,0.8,1
14,Elymus elymoides,,22,0.3,25,
14,Epilobium brachycarpum,0.2,0.3,0.3,0.1,
14,Eremocarpus setigerus,,,,,
14,Eriogonum vimineum,,,,,
14,Filago californica,,,,,
14,Grindelia camporum,,,,,
14,Helianthella californica,,,,,
14,Hemizonia congesta,3,6,42,22,5
14,Hesperolinon sp.,,,,,
14,Hordeum brachyantherum,,,,,
14,Lactuca serriola,,,,,
14,Lagophylla minor,,,1,2,3
14,Lasthenia californica,1,2,,,
14,Lepidium nitidum,,,,,
14,Lessingia ramulosa,,,,,1.5
14,Linanthus bicolor,0.3,,,,
14,Lolium multiflorum,2,,,,
14,Lomatium marginatum,,,,0.4,0.4
14,Lotus humistratus,,,,,0.1
14,Lupinus bicolor,0.1,,,,
14,Micropus californicus,,,,,
14,Microseris douglasii,,12,0.7,1.5,
14,Mimulus guttatus,,,,,
14,Navarretia jepsonii,,,,0.7,
14,Phlox gracilis,,,0.2,,
14,Plantago erecta,0.2,1,0.1,,
14,Poa secunda,1,0.3,0.3,0.3,0.3
14,Ranunculus occidentalis,,,0.1,1.5,
14,Rigiopappus leptocladus,,0.1,0.1,,
14,Scutellaria siphoncampyloides,,,,,
14,Sidalcea diploscypha,,,0.2,,
14,Sisyrinchium bellum,0.6,,,,
14,Sonchus oleraceus,,,,,
14,Stellaria nitens,,0.1,0.2,0.1,
14,Taeniatherum caput-medusae,0.5,,,,
14,Trifolium fucatum,,4,3,6,
14,Trifolium gracilentum,3,0.6,0.32,,
14,Triteleia laxa,,,,,
14,Vulpia microstachys,,,,,
14,Zigadenus fremontii,,,,0.3,
14,Unknown Aster,,,,,
14,Unknown Filago,,,,,
14,Bare,0.3,1.5,10,4.518,1.8
14,Rock,,1.5,,3,0.3
NOTES:,,,,,,
15,Achyrachaena mollis,0.2,0.6,0.2,,
15,Agoseris heterophylla,,0.2,,,
15,Aira caryophyllea,,,,,
15,Anagallis arvensis,,,,,
15,Ancistrocarphus filagineus,0.1,,,,
15,Athysanus pusillus,,,,,
15,Avena barbata,,,,,
15,Avena fatua,,50,3,6,15
15,Brodeia elegans,,,,,
15,Bromus diandrus,,,,,
15,Bromus hordeaceus,20,,0.2,,
15,Calochortus superbus,,,,,
15,Camissonia graciliflora,,,,,
15,Castilleja attenuata,,,,,
15,Chlorogalum pomeridianum,0.5,,5,6,
15,Clarkia purpurea,0.1,0.2,,,
15,Collinsia sparsiflora,,,,,
15,Cynasourus,0.3,,,,
15,Dichelostemma capitatum,0.5,0.2,0.3,0.4,0.1
15,Dodecatheon hendersonii,,,,,
15,Epilobium brachycarpum,,,,,
15,Eremocarpus setigerus,0.8,,,,
15,Erodium brachycarpum,0.4,,,,
15,Erodium cicutarium,0.1,0.2,,,
15,Euphorbia crenulata,,0.3,0.5,0.4,0.1
15,Filago gallica,,,,,
15,Galium murale,,,,,
15,Grindelia camporum,,,,,
15,Hemizonia congesta,0.3,11,16,12,20
15,Hypochaeris glabra,5,5.5,0.4,,
15,Lactuca serriola,,3.5,,,
15,Lasthenia californica,0.4,,0.1,,
15,Lessingia ramulosa,0.1,,,,
15,Linanthus bicolor,,,,,
15,Lolium multiflorum,,1.5,2.5,3,3
15,Lotus micranthus,,,,,
15,Lotus micranthus,,,,,
15,Lotus wrangelianus,,,,,
15,Lupinus bicolor,,,,0.1,
15,Medicago polymorpha,,0.2,0.2,0.8,
15,Melilotus indica,,,,,
15,Micropus californicus,6,0.1,,,
15,Microseris douglasii,,,20,35,7
15,Nassella pulchra,,,,,
15,Plantago erecta,0.2,,,,
15,Poa secunda,,,,,
15,Polypogon monspeliensis,,,,,
15,Rigiopappus leptocladus,,,,,
15,Sanicula bipinnatifida,0.5,,,,
15,Sidalcea diploscypha,,,,,
15,Silene gallica,0.1,,,,
15,Sisyrinchium bellum,,,2.5,,8
15,Sonchus oleraceus,0.1,0.4,,0.7,0.1
15,Stellaria nitens,,,0.1,,
15,Taeniatherum caput-medusae,15,25,,0.6,4
15,Trifolium dubium,,,,,
15,Trifolium fucatum,0.7,,,7,6
15,Trifolium gracilentum,0.1,0.1,2.2,0.6,0.5
15,Trifolium hirtum,0.2,,,,
15,Trifolium microcephalum,,,,,
15,Trifolium willdenovii,,,,,
15,Triphysaria eriantha,,,1,,
15,Triteleia laxa,,,,,
15,Vulpia microstachys,8,,,,
15,Vulpia myuros,,,,,
15,Zigadenus fremontii,,,,,
15,Unknown opposite leaves,,,,,
15,Bare,6,1.5,22,3.5,3
15,Rock,,,,,
NOTES:,Put new flag at plot 5; PVC is missing,,,,,
,Plots were read backwards last year,,,,,
,#5 has tag,,,,,
16,Achyrachaena mollis,0.3,,,,
16,Agoseris heterophylla,0.5,4,7.5,0.4,
16,Ancistrocarphus filagineus,,,,,0.2
16,Astragalus gambelianus,,,,,
16,Athysanus pusillus,0.1,,,0.2,
16,Avena barbata,,,,,
16,Avena fatua,50,4,3.5,,
16,Brodeia elegans,,,,,
16,Bromus hordeaceus,20,12,0.5,0.6,0.5
16,Bromus madritensis,,0.1,,,
16,Calycadenia pauciflora,,,,,
16,Camissonia graciliflora,,,,,
16,Castilleja attenuata,,,,,
16,Castilleja rubicundula,,0.2,,,
16,Clarkia gracilis,,,,,
16,Collinsia sparsiflora,,,,,
16,Dichelostemma capitatum,,0.2,0.2,1.5,0.5
16,Elymus elymoides,,,,,
16,Epilobium brachycarpum,,,,1.5,
16,Eremocarpus setigerus,0.6,,0.3,0.2,
16,Eriogonum nudum,,2,,0.2,1.2
16,Eriogonum vimineum,,,,,
16,Eriophyllum lanatum,,,,,0.8
16,Gastridium ventricosum,,,,,
16,Gilia tricolor,,0.3,,,
16,Hemizonia congesta,0.2,3,,0.1,0.4
16,Hesperolinon micranthum,,,,,1.5
16,Hordeum brachyantherum,,,,,
16,Hordeum marinum,,,,,
16,Lactuca serriola,,0.1,0.2,,
16,Lasthenia californica,2,,0.1,1.3,9.5
16,Lepidium nitidum,,0.3,,,
16,Lessingia ramulosa,,,,0.4,4
16,Linanthus bicolor,,,,,
16,Linanthus ciliatus,,,,,
16,Linanthus dichotomus,,,,,
16,Lolium multiflorum,4,2,8,,
16,Lotus humistratus,0.2,0.2,,0.2,
16,Lotus micranthus,,,,,
16,Lotus wrangelianus,,3,,0.4,
16,Micropus californicus,,,,,0.3
16,Microseris douglasii,0.2,0.6,,0.2,2
16,Nassella pulchra,,2,8,2.8,6
16,Navarretia jepsonii,,,,,1
16,Plantago erecta,0.4,4,0.1,10,1
16,Poa secunda,,,,,
16,Rigiopappus leptocladus,,0.1,,4,0.5
16,Senecio eurycephalus,,,,,
16,Sidalcea diploscypha,0.6,,2.5,0.5,
16,Stellaria nitens,,,0.1,,
16,Taeniatherum caput-medusae,0.5,,,,
16,Trifolium albopurpureum,,0.7,,,
16,Trifolium fucatum,,0.1,,,
16,Trifolium gracilentum,0.1,,,,
16,Vulpia microstachys,0.3,0.4,,2,0.6
16,Zigadenus fremontii,,,,,
16,unk white,,,,,
16,Trifolium,,,,,
16,Bare,6,9,13,12,18
16,Rock,,5,,0.5,2
NOTES:,,,,,,
17,Agoseris heterophylla,,,,,
17,Aira caryophyllea,,,,,
17,Anagallis arvensis,,,,,
17,Astragalus gambelianus,,,,,
17,Athysanus pusillus,,,,,
17,Avena fatua,15,60,,1,3
17,Bromus hordeaceus,20,15,45,0.3,8
17,Bromus madritensis,0.2,2,0.2,5,6
17,Castilleja densiflora,7,0.1,2,1,15
17,Centaurea melitensis,0.2,,0.5,,
17,Centaurea solstitialis,10,4,2,,
17,Centaurium trichanthum,,,,,
17,Crassula connata,,,,,
17,Dichelostemma capitatum,,,0.1,,
17,Eremocarpus setigerus,,,0.1,,
17,Erodium brachycarpum,0.5,,,,
17,Erodium cicutarium,0.2,,5,0.5,6
17,Gilia tricolor,0.4,,0.6,1,0.5
17,Holocarpha virgata,,,,,
17,Hypochaeris glabra,,,,,
17,Lepidium nitidum,,,,,
17,Lolium multiflorum,,,,,
17,Medicago polymorpha,1,10,0.5,,
17,Nassella pulchra,,,6,,
17,Navarretia pubescens,,,0.2,,
17,Pedicularis densiflora,,,,,
17,"Petrorhagia ""tunica""",,,,,
17,Plantago erecta,3,,26,1,
17,Senecio vulgaris,,,,,
17,Taeniatherum caput-medusae,,10,0.1,,0.1
17,Trifolium albopurpureum,,,2,,
17,Triphysaria eriantha,,,,3,1
17,Velezia rigida,0.2,,,6,4
17,Vulpia myuros,2,2,3,18,5
17,unk pink tip #3,,,,,
17,Unknown seedling,,,,,
17,Bare,,,1,15,5
17,Rock (stones),,,4,40,10
17,Rock (big),,3,7,15,
NOTES:,,,,,,
18,Achyrachaena mollis,,,,,
18,Agoseris heterophylla,0.1,,,,
18,Ancistrocarphus filagineus,,,,1,
18,Athysanus pusillus,,,,,
18,Astragalus gambelianus,,,,,
18,Avena barbata,90,60,7,15,80
18,Bromus hordeaceus,10.1,9,,,
18,Bromus madritensis,,0.1,,,1
18,Calycadenia pauciflora,,,0.1,5,1
18,Chaenactis glabriuscula,,,,,
18,Chorizanthe polygonoides,,,,,
18,Cuscuta californica,,,,,
18,Dichelostemma capitatum,0.2,0.5,0.1,,
18,Eremocarpus setigerus,,,,,
18,Eschscholzia californica,,,,,
18,Filago californica,,,,,
18,Gilia capitata,,,,,
18,Gilia tricolor,,,,,0.1
18,Holocarpha virgata,5,20,,15,3
18,Lactuca serriola,,,,,
18,Layia septentrionalis  ,,1,0.1,1,
18,Lotus humistratus,,,15,20,25
18,Lotus wrangelianus,2,5,,,
18,Micropus californicus,,,,,
18,Microseris douglasii,,,5,2,
18,Nassella pulchra,,,,,
18,Navarretia jepsonii,,,,,
18,Plantago erecta,,2,5,20,
18,Thysanocarpus curvipes,,,,,
18,Trifolium albopurpureum,,1,2,,
18,Uropappus lindleyi,,,,,
18,Vulpia microstachys,,0.1,1,6,
18,unk #4 fleshy,,,,,
18,Bare,8,25,60,25,3
18,Rock (stones),,5,30,5,
NOTES:,"Site is to the R of the exclosure, to the R of drainage, above the rock outcrop with poppies. ",,,,,
,Plot4 missing; replaced with yellow flags,,,,,
19,Achyrachaena mollis,,,0.3,5,5
19,Agoseris heterophylla,0.2,0.4,,,
19,Anagallis arvensis,,,,,
19,Athysanus pusillus,0.2,0.2,,,
19,Avena fatua,,,,4,
19,Brodeia elegans,,,,,
19,Bromus carinatus,,,,,
19,Bromus diandrus,,,,,0.1
19,Bromus hordeaceus,30,15,15,7,4
19,Calandrinia ciliata,,,,,
19,Calochortus luteus,,,,,
19,Calycadenia pauciflora,,,,,
19,Cardamine oligosperma,,0.2,,,
19,Castilleja attenuata,,,,,0.2
19,Chlorogalum pomeridianum,5,0.1,1,,
19,Collinsia sparsiflora,,4,,,
19,Cuscuta californica,,,,,
19,Dichelostemma capitatum,0.3,1,0.5,0.2,0.5
19,Elymus elymoides,,,,,
19,Epilobium brachycarpum,1,1,1,,0.1
19,Eriogonum nudum,,,2.5,1,4
19,Eriogonum vimineum,,,,,
19,Erodium cicutarium,,,,,
19,Euphorbia crenulata,0.4,,0.2,0.2,
19,Hemizonia congesta,7,6,20,4,4
19,Hordeum brachyantherum,,,,,
19,Lactuca serriola,,,,,
19,Lasthenia californica,0.5,2,3,0.5,26
19,Lessingia ramulosa,,,,,
19,Linanthus bicolor,,,,,
19,Lolium multiflorum,1,0.2,,,
19,Lotus wrangelianus,,0.2,0.3,,0.2
19,Lupinus bicolor,,0.1,,,
19,Melica californica,,,,,
19,Micropus californicus,,0.2,0.5,,0.3
19,Microseris douglasii,,,,,0.2
19,Nassella pulchra,,,0.1,1,
19,Plantago erecta,,,,,0.3
19,Poa secunda,,,2,5,1
19,Rigiopappus leptocladus,,,,,
19,Sidalcea diploscypha,,,,0.4,
19,Stellaria nitens,,,,,
19,Taeniatherum caput-medusae,1,0.5,,,
19,Trifolium albopurpureum,0.3,10,5,0.5,9
19,Trifolium bifidum,0.3,2,0.5,,
19,Trifolium fucatum,,,,,
19,Trifolium gracilentum,,,,,
19,Trifolium hirtum,,,,,
19,Trifolium microcephalum,,,,,
19,Triteleia laxa,,,,,
19,Vicia villosa,2,,,,
19,Vulpia microstachys,1,2,1,0.2,8
19,Zigadenus fremontii,,,,,
19,Bare,,,,5,4
19,Rock,,,,,
NOTES:,,,,,,
20,Agoseris heterophylla,,,,0.5,2
20,Anagallis arvensis,,,,,
20,Athysanus pusillus,,,,,
20,Avena fatua,,,,1,
20,Brodeia elegans,,,,,
20,Bromus hordeaceus,1,2,10,5,3
20,Calandrinia ciliata,,,,,
20,Cardamine oligosperma,,,,,
20,Centaurea solstitialis,,,,,
20,Chlorogalum pomeridianum,25,40,7,,
20,Collinsia sparsiflora,,,,0.2,0.2
20,Cuscuta californica,,,,,
20,Delphinium hesperium,,,,3,
20,Delphinium variegatum,,,,,
20,Dichelostemma capitatum,0.3,0.5,0.2,0.4,
20,Epilobium brachycarpum,,,,,
20,Eremocarpus setigerus,0.2,,0.2,,
20,Euphorbia crenulata,0.1,0.1,,0.3,
20,Hemizonia congesta,4,1,1,4,4
20,Hordeum marinum,,,,,
20,Lactuca serriola,,,,0.3,
20,Lolium multiflorum,20,15,8,50,45
20,Medicago polymorpha,,,,,
20,Microseris douglasii,,,,,
20,Perideridia kelloggii,,,,,4
20,Phlox gracilis,,,,,
20,Poa secunda,,,,,
20,Sidalcea diploscypha,,,,2,0.5
20,Stellaria nitens,,,,,
20,Taeniatherum caput-medusae,,,,,
20,Trifolium albopurpureum,,,,,1
20,Trifolium fucatum,,,,,2
20,Trifolium gracilentum,,,,,
20,Trifolium hirtum,,,,,
20,Vicia villosa,,,,,
20,Vulpia myuros,,,,,
20,Zigadenus fremontii,,,0.1,1,
20,Quercus (spelling?),,,,,0.1
20,Bare,,,,,
20,Rock,,1,,,
NOTES:,Lots of species missing,,,,,
,"Needs a new rebar at quad 3 orange cap remains, stamped in ground in right place ",,,,,
21,Achyrachaena mollis,,,,,
21,Agoseris heterophylla,,0.1,,0.2,0.1
21,Amsinckia menziesii,0.1,0.1,,,
21,Ancistrocarphus filagineus,,,,,
21,Astragalus gambelianus,,,,,
21,Athysanus pusillus,,,,,
21,Avena barbata,,0.2,,,
21,Brodiaea elegans,,,,,
21,Bromus hordeaceus,4,7,5,5,10
21,Bromus madritensis,,,,0.1,
21,Calandrinia ciliata,,,,,
21,Castilleja attenuata,,,,,
21,Clarkia purpurea,,,,,
21,Dichelostemma capitatum,0.1,1,1,0.5,
21,Epilobium brachycarpum,,,,0.1,
21,Eremocarpus setigerus,,,,,
21,Filago californica,,,,,
21,Hemizonia congesta,2,,,1,2
21,Holocarpha virgata,3,7,6,,
21,Hordeum depressum,,,,,
21,Hypochaeris radicata,,,,,
21,Lactuca serriola,,,,0.1,0.2
21,Lasthenia californica,0.1,15,,0.5,
21,Linanthus bicolor,,,,,
21,Lolium multiflorum,0.1,2,,3,2
21,Lotus wrangelianus,1,,4,0.1,
21,Micropus californicus,0.1,1,2,,
21,Microseris douglasii,1,1,1,5,5
21,Nassella pulchra,2,,,40,60
21,Plantago erecta,0.1,0.1,0.1,0.1,
21,Poa secunda,0.1,1,,,
21,Ranunculus occidentalis,,,,,
21,Senecio vulgaris,,,,,
21,Sidalcea diploscypha,,0.1,,,0.2
21,Sonchus oleraceus,,,,,
21,Taeniatherum caput-medusae,,,,,
21,Trifolium albopurpureum,0.1,1,2,,
21,Trifolium bifidum,0.1,,,,
21,Trifolium fucatum,,,,,
21,Trifolium gracilentum,,,,,
21,Vulpia microstachys,,1,8,0.1,0.1
21,Bare,60,10,20,1,15
21,Rock,,0.1,1,0.1,1
NOTES:,,,,,,
22,Achyrachaena mollis,,,,,
22,Agoseris grandiflora,,,0.1,,
22,Amsinckia menziesii,,,,,0.1
22,Athysanus pusillus,,,,,
22,Avena barbata,10,0.1,,1,5
22,Avena fatua,,,,,
22,Bromus diandrus,,,,,
22,Brodiaea elegans,,,,,
22,Bromus hordeaceus,35,5,,10,
22,Bromus madritensis,,,,,
22,Carduus pynceph,,,,,
22,Cerastium glomeratum,,,,,
22,Cercocarpus betuloides,,,,,31
22,Clarkia purpurea,0.1,,,,
22,Collinsia sparsiflora,2,0.1,,0.1,0.5
22,Delphinium hesperium,,,,,
22,Dichelostemma capitatum,0.1,0.1,0.1,,1
22,Dodecatheon hendersonii,,,,,
22,Elymus elymoides,,,,,
22,Epilobium brachycarpum,,0.1,,,
22,Eremocarpus,,,,,
22,Euphorbia crenulata,3,0.5,,,
22,Gastridium ventricosum,,,,,
22,Grindelia camporum,,,1.5,2,4
22,Hemizonia congesta,13,10,,12,
22,Hordeum brachyantherum,,,,,
22,Hypochaeris glabra,5,0.1,0.1,,
22,Lactuca serriola,,,,,
22,Lasthenia californica,,1,,2,0.1
22,Lepidium nitidum,0.1,,,,
22,Lolium multiflorum,5,10,0.1,2,0.1
22,Lomatium marginatum,,,,,
22,Lomatium utriculatum,,,,,5
22,Lotus wrangelianus,,,,0.1,20
22,Lupinus bicolor,,0.2,,1,0.5
22,Melilotus indica,,,,,
22,Micropus californicus,0.1,25,0.1,,0.2
22,Nassella pulchra,,,0.5,,2
22,Navarretia pubescens,,,,,
22,Nemophila heterophylla,,,,,
22,Perideridia kelloggii,,,,2,
22,Phlox gracilis,,,,,
22,Plantago erecta,0.1,,1,,10
22,Poa secunda,,,,,
22,Quercus durata,,,,,
22,Ranunculus occidentalis,,,10,,6
22,Sanicula crassicaulis,,,,,
22,Senecio vulgaris,,,,,0.1
22,Sidalcea diploscypha,,1,,,
22,Sisyrinchium bellum,,,1,1,
22,Stellaria nitens,,,,,
22,Taeniatherum caput-medusae,1,3,0.1,2,
22,Torilis arvensis,,,,,
22,Trifolium albopurpureum,,,,,
22,Trifolium bifidum,,,0.1,2,0.1
22,Trifolium fucatum,,0.2,0.5,5,
22,Trifolium gracilentum,2,1,0.1,,
22,Trifolium hirtum,,,,,
22,Triteleia laxa,,,,,
22,Vulpia microstachys,0.1,,,,2
22,Vulpia myuros,,,,,
22,Vulpia octoflora?,,,,,
22,Wyethia glabra,,,85,10,
22,Cenaurea seedling?,,,,,
22,Unknown Aster,,,,,
22,Bare,,1,3,5,0.5
22,Rock,,,2,,2
NOTES:,,,,,,
23,Agoseris heterophylla,,,,,
23,Amsinckia menziesii,1,0.1,0.1,,
23,Athysanus pusillus,,,,,
23,Avena barbata,3,,,10,0.2
23,Brodiaea elegans,,,,,
23,Bromus hordeaceus,3,5,5,1,4
23,Bromus diandrus,,,,,
23,Bromus madritensis,,,0.1,,4
23,Calochortus luteus,,,,,
23,Cardamine oligosperma,,,,,
23,Chlorogalum pomeridianum,,,,,
23,Clarkia purpurea,0.1,0.1,,,0.2
23,Claytonia parviflora,,,,,
23,Clover #2,,,,,
23,Collinsia sparsiflora,0.1,0.1,20,0.2,2
23,Delphinium hesperium,,,,,
23,Dichelostemma capitatum,,1,0.1,0.1,
23,Dodecatheon hendersonii,,,,,
23,Elymus elymoides,,,,1,
23,Epilobium brachycarpum,,0.1,2,,0.1
23,Eremocarpus setigerus,,,,,
23,Eriogonum covilleanum,,,,,
23,Euphorbia crenulata,0.1,,,,
23,Grindelia camporum,,,,,0.1
23,Hemizonia congesta,0.3,1,20,15,15
23,Hordeum brachyantherum,,,,,
23,Hypochaeris glabra,2,,,,
23,Lasthenia californica,0.1,,0.1,15,10
23,Lolium multiflorum,40,1,4,,0.1
23,Lomatium marginatum,,,,,
23,Lotus micranthus,,,,,
23,Lotus wrangelianus,,,,29,1
23,Lupinus bicolor,0.1,0.1,0.1,,
23,Medicago polymorpha,,,,,
23,Melica californica,,,,,
23,Micropus californicus,2,1,1,0.1,2
23,Microseris douglasii,,,,,
23,Nassella pulchra,,45,,,
23,Nemophila heterophylla,,,,,
23,Perideridia kelloggii,,,,,
23,Phalaris paradoxa,0.1,,,,
23,Phlox gracilis,,,,,
23,Plantago erecta,2.1,,1,,
23,Poa secunda,,,1,,
23,Ranunculus occidentalis,,1.5,,,0.1
23,Sidalcea diploscypha,,,,,
23,Sonchus oleraceus,,,,,
23,Stellaria media,,,,,
23,Taeniatherum caput-medusae,1,1,5,,
23,Thysanocarpus,,,0.1,,
23,Trifolium albopurpureum,,,,,
23,Trifolium bifidum,,0.1,0.1,3,3
23,Trifolium fucatum,2,1,,3,
23,Trifolium gracilentum,0.1,1,1,,2.1
23,Triteleia laxa,,,,,
23,Vulpia microstachys,,,,3,2
23,Vulpia myuros,0.1,0.1,0.1,,0.1
23,Zigadenus fremontii,0.1,1,0.1,1,2
23,Bare,3,,1,1,2
23,Rock,,2,,3,8
NOTES:,,,,,,
24,Achyrachaena mollis,,,,,
24,Agoseris grandiflora,0.1,,0.1,,
24,Agoseris heterophylla,,,,,
24,Allium sp.,,,,,
24,Amsinckia menziesii,,,,,
24,Asclepias fascicularis,,,,,1.3
24,Athysanus pusillus,,,,,
24,Avena barbata,0.1,,,60,3
24,Bromus diandrus,,,,,
24,Bromus hordeaceus,1,0.5,1,0.1,30
24,Calandrinia ciliata,,,,,
24,Calochortus superbus,,,0.2,,
24,Centaurea solstitialis,,,,,0.1
24,Cerastium glomeratum,,,,,
24,Clarkia gracilis,,,,,
24,Clarkia purpurea,,,,,
24,Collinsia sparsiflora,0.1,1,0.5,,
24,Cuscuta californica,,,,,
24,Delphinium hesperium,,,0.1,5,
24,Dichelostemma capitatum,0.1,0.1,0.5,0.1,0.1
24,Elymus elymoides,,,1,,
24,Epilobium brachycarpum,,2,0.1,0.1,
24,Euphorbia crenulata,,,0.5,0.2,
24,Galium murale,,,,,
24,Geranium dissectum,,,,,3.1
24,Grindelia camporum,0.3,,,,0.2
24,Helianthella californica,,,,,
24,Hemizonia congesta,0.1,7,20,2,2
24,Iris douglasiana,,,,,
24,Lactuca serriola,,,,,0.1
24,Lasthenia californica,80,,30,,
24,Linanthus bicolor,,,,,
24,Lolium multiflorum,0.1,5,5,0.1,
24,Lomatium marginatum,,,,,
24,Lupinus bicolor,0.1,,2,3,
24,Medicago polymorpha,,,,,0.1
24,Melilotus indica,,,,,
24,Micropus californicus,0.5,,4,0.2,
24,Microseris douglasii,,,1,,
24,Nassella pulchra,5,,,,
24,Navarretia jepsonii,,,,,
24,Nemophila heterophylla,,,,,
24,Nemophila heterophylla,,,,,
24,Perideridia kelloggii,0.2,9,,,
24,Plantago erecta,3,,20,,0.1
24,Poa secunda,0.2,,,,
24,Ranunculus occidentalis,1,,,,0.1
24,Rumex crispus,,,,,
24,Sidalcea diploscypha,,,0.1,0.2,
24,Sisyrinchium bellum,8,,,,
24,Sonchus oleraceus,,,,,
24,Stellaria nitens,,,,,
24,Taeniatherum caput-medusae,1,,1,1,1
24,Torilis arvensis,,,,,5
24,Trifolium bifidum,0.1,,,0.1,
24,Trifolium fucatum,3,0.1,0.1,,
24,Trifolium gracilentum,0.5,0.1,0.1,0.1,
24,Triteleia laxa,,,,,
24,Vulpia microstachys,1.1,,,,1
24,Vulpia myuros,,,,,
24,Wyethia glabra,40,,,,
24,Zigadenus fremontii,0.1,0.1,0.1,3,
24,Bare,0.5,0.5,0.1,4,
24,Rock,4,,3,,
NOTES:,,,,,,
25,Achyrachaena mollis,,,,,
25,Agoseris heterophylla,,,0.1,,
25,Allium serra,,,,,
25,Amsinckia menziesii,,,,,
25,Astragalus gambelianus,,,,,
25,Athysanus pusillus,,,,,
25,Avena fatua,0.1,1,20,70,7
25,Brodiaea elegans,,,,,
25,Bromus diandrus,,,20,,
25,Bromus hordeaceus,6,0.1,,0.1,0.1
25,Bromus madritensis,,,,,1
25,Calochortus luteus,,,,,
25,Carduus pynceph,0.1,,,,
25,Castilleja applegattii,,,,,
25,Castilleja attenuata,,,,,
25,Centaurea solstitialis,,,,,
25,Cerastium glomeratum,,,,,
25,Cercocarpus betuloides,,4,,,0.1
